Topic,Tweets,Date,Number
,@weartv 's @DonlanJoseph ! https:// twitter.com/weartv/status/ 903671085153038337 …,9/2/2017 ,14
,@weartv @wxkaitlin @WEARAllenStrum @AshleyRuizWx @WEARKDaniel #destin #partlycloudly #weartv #C3N pic.twitter.com/9T83mCwUcg,8/31/2017 ,14
,Text WEARTV to 95577 and share YOUR Hang Out Fest experience with us! @weartv pic.twitter.com/iiTVlmaz0q,5/20/2017 ,14
,#selfiesunday from @weartv pic.twitter.com/s5e3OIeNEO,5/28/2017,14
,@weartv @myescambia @cityofpensacola pic.twitter.com/FyQ4O3lAJQ,8/30/2017,14
,@weartv @weatherchannel @MegWJZ @catcountry987 @AshleyRuizWx pic.twitter.com/sJSVfrBFLP,9/10/2017,14
,This is handy! @weartv pic.twitter.com/jf1RMiW0An,1/16/2018 ,14
,"Also, there’s a bird here. @weartv pic.twitter.com/MsvwdXBpR3",1/10/2018 ,14
,Deals or meals? Which side are you on? @weartv pic.twitter.com/WIH7UIhU8d,11/23/2017 ,14
,Thankful for these turkeys. @davidgonz @KHendersonTV @weartv pic.twitter.com/xJhhubqKNx,11/23/2017 ,14
,Swoooooooshhhhh! What is your favorite @BlueAngels maneuver? @weartv pic.twitter.com/eywGzJhMD4,11/10/2017 ,14
,"Double, double, toil and trouble. Fire burn, and cauldron bubble! @weartv #Halloween #TwinMom pic.twitter.com/AXgWrdxF3n",10/31/2017 ,14
,Mama Jane with the snackssssss. Mint chocolate chip and cotton candy funnel cakes. Whoa doggyyyy! @ClueHuntress @weartv #PensacolaFair2017 pic.twitter.com/xa68fdt6UF,10/19/2017 ,14
,Shaun s our meteorologists. @weartv @wxkaitlin pic.twitter.com/XNdWUUrp0S,10/17/2017 ,14
,The lawsuit was filed by former Commissioner Gene Valentino for defamatory remarks. @weartv pic.twitter.com/tIvcu1rvhl,9/21/2017 ,14
,Flights to and from #Houston have been cancelled according to @flypensacola website. @weartv #HurricaneHarvery pic.twitter.com/O8yy4F3Moi,8/28/2017 ,14
,Prayer circle for Jai'Nier Barnes before releasing balloons. @weartv pic.twitter.com/I5KHyv3cdZ,8/24/2017 ,14
,Kazoo! @BlueWahoosBBall @weartv pic.twitter.com/onrFgbW27f,7/11/2017 ,14
,The twins take @weartv .... again! pic.twitter.com/FKJWXwfH8T,7/11/2017 ,14
,"The ultimate Furcast, featuring Marshi @laurenwolfetv @AshleyRuizWx @weartv pic.twitter.com/r8TI6C5AXX",1/3/2018,14
,Twinning #NationalDoughnutDay with @Hannahh_Mackk #NomNomNom #DynamicDuo #3ITMWeekend @weartv pic.twitter.com/mKduT65gsf,11/5/2017,14
,#HalloweenMadness - #pumpkin socks & pumpkin cookies @Hannahh_Mackk #DynamicDuo #3ITMWeekend @weartv pic.twitter.com/sLuymkPhs0,10/14/2017,14
,Reunited in the field with @WEARJASONROBBI ! @weartv pic.twitter.com/ASKBetiEqs,9/28/2017 ,14
,Feeling patriotic with two of my favorite ladies! @hannahh_mackk @WEARKDaniel @weartv pic.twitter.com/jHKwTcc3Cf,9/1/2017 ,14
,Another faint #rainbow on our #UWF Weathernet cam. @weartv pic.twitter.com/0Mh9mQ4P6Y,8/23/2017 ,14
,"The Muggies"" have returned! Dew points are back in the 70s. @weartv pic.twitter.com/UTTUrvR7lA""",6/10/2017 ,14
,#AllAmericanPetPhotoDay @weartv @OCSOALERTS Cooper enjoying the waves! pic.twitter.com/GrMkfnx8jJ,7/11/2017 ,14
,#HurricaneNateِ #nhc @NHC_Surge @weatherchannel @weartv @FLNewsLady pic.twitter.com/4ta9zH04sm,10/7/2017 ,14
,Boys will be boys @weartv #coldinpensacola #kindasnowdays pic.twitter.com/lch9CXikxQ,1/17/2018,14
,My yard in Warrington @weartv pic.twitter.com/8TxZyQAgWc,10/8/2017 ,14
,@weartv pic.twitter.com/1nMC8IAggc,7/9/2017 ,14
wptv fox29wflx wpbf25news beach cbs12 palm county pbpost irma game
,Courtesy of WPTV again,6/22/2017 ,15
,Courtesy of WPTV,6/22/2017 ,15
,They brought Joseph back into the courtroom after that outburst @WPTV,1/29/2018 ,15
,Cramer to remain in custody @WPTV,10/23/2017 ,15
,@WPTV Go back to programming!!!,7/21/2017 ,15
,That's the scuttlebutt @WPTV,5/29/2017 ,15
,@WPTV *ba dum tis*,5/30/2017 ,15
,Sentencing will be in April @WPTV,1/26/2018,15
,@WPTV go now!! Brush her hair,8/5/2017,15
,Jury has reached a verdict @WPTV,7/20/2017 ,15
,SLC EOC at a level 1 activation @WPTV,9/8/2017 ,15
,@wptv @TreyHerbert,8/31/2017,15
,@WPTV is the curfew still in effect in pbc?,9/11/2017,15
,You have been hired as @WPTV senior bachelorette correspondent.,7/26/2017,15
,"@CHSommers @WPTV Whoa, what the heck?",9/10/2017 ,15
,@WPTV WPTV#5!,2/2/2018 ,15
,@WPTV Why are your pictures always blurry??,12/26/2017,15
,@AgentAngelSoul @WPTV What a coincidence.,5/26/2017 ,15
,Member of our armed forces standing at entrance of Armory with rather large assault rifle #newnormal ? @WPTV,11/4/2017 ,15
,@WPTV also.....,9/10/2017 ,15
,@WPTV @LaurenceReisman @AtterburyTCPalm @HometownNewsIRC @SchoolLeadersFL @EducationFL,9/10/2017 ,15
,@WPTV when will you be re airing #ANW ?,7/31/2017 ,15
,@WPTV what's up with all the helicopters flying above? I see yours too,6/27/2017 ,15
,@WPTV,9/20/2017 ,15
,@WPTV @wptvtraffic WHY brightline? We have taxpayer supported tri-rail?,1/10/2018,15
,Well @WPTV,11/20/2017 ,15
,@Cernovich @WPTV :'(,9/9/2017 ,15
,@WPTV jog and le chelet...,6/11/2017 ,15
,@WPTV Because you're primitive.,9/10/2017,15
,@WPTV,5/29/2017 ,15
,@NPBRecreation @ThePBCFlorida @SuzanneBoyd @LeslieStreeter @PalmBeach33 @WPTV @TAsteSeeWPTV @SloFunkPump @WeAreFelicity @wpbf_felicia,7/23/2017 ,15
,@Lemun_C3 @WPTV,2/1/2018 ,15
,Witness talks about facial recognition and gestures tied together can determine if someone is lying #Dippolito @WPTV,6/1/2017 ,15
,@wptv . Put the regular show on!,7/21/2017 ,15
,@pbcsd @PBCSDKreyol @EsolPbc @harveyoaxaca @southPbcsd @Area4SuptPBCSD @GladesRegion @DrFRod1 @johnileonard @ForestHillHS @palmspringsms @Wellingtonflgov @GAE_bulldogs @westpalmbch @WPTV @pbcgov20 @pbcgov @PBHChamber @EddieRuiz531 @PBCentralACE @RPBHSOffi,12/20/2017 ,15
,@WPTV Thabk you!!!,8/26/2017 ,15
,@SpaceX launch in Cape Caneveral any minute now. @MarkKellyWPBF @WPTV,1/31/2018 ,15
,@WPTV all hype,9/8/2017 ,15
,@JarrettZody @JJ_Baptiste @russwest44 @KyrieIrving @Ballislife @mark_dixon30 @toddycenteio @d1brandon @PBCBBallForum @opportunity_iam @WPTV,7/11/2017 ,15
,@RodStryker @WPTV Alligator mouth Webbie W-S. may be implicated?,5/27/2017 ,15
,@BleacherReport @WPTV #FreeTiger,5/29/2017 ,15
,@WPTV,1/3/2018 ,15
,@Humble520 @WPTV,9/10/2017,15
,@wptv I only trust Glenn glazer,9/9/2017 ,15
,@FatJimHalpert @WPTV,9/10/2017 ,15
,Stuart commissioners approve backyard chickens @WPTV,6/26/2017 ,15
,@WPTV the 106.3 stream is off ??,9/10/2017 ,15
,WXEL is broadcasting the WPTV feed.,9/9/2017 ,15
,@BetsyDeVos @CDCemergency @CADistAttysAssn @CDC_eHealth @CDCDirector @CDCGlobal @CDC_Cancer @lathamwatkins @JaySekulow @JayAshcroftMO @JordanSekulow @TabithaLipkin @OANN @WPTV,2/1/2018 ,15
,#Dippolito crying being put in handcuffs @WPTV,6/16/2017 ,15
,@WPTV,12/31/2017 ,15
,Coffee and @WPTV . #TwoReasonsIGetOutOfBed @MikeTrimWPTV @AshleighWalters @glennglazer,11/8/2017,15
,@WPTV slt bon coraj,9/9/2017 ,15
,@WPTV wrh,7/26/2017 ,15
,@WPTV your simulcast is in and out IE the transmission is broken.,9/10/2017,15
,@WPTV also.....,9/10/2017 ,15
,@Mets @stluciemets @ESPNWestPalm @FoxSportsRadio @TimTebow @WPTV @JohnFavolewptv @LeslieStreeter @alsassociation @vanillaice,8/1/2017 ,15
,A #HIGH5 on 5/5 from @WPTV NewsChannel 5 with @WPTV #CincodeMayo @CStewartWPTV @WxLadyFelicia @glennglazer @AndrewRuizWPTV @RobTitoMoore pic.twitter.com/BFz7y5pKXJ,5/5/2017,15
,@BleacherReport @WPTV everyone is tagging me in this on twitter lmaoo,5/29/2017 ,15
,Do you know where I can get last minute eclipse glasses?? @WPTV #WPTV,8/20/2017,15
,LaPosada Alzheimer's fundraiser http://www. wptv.com/about-us/as-se en-on/laposada-alzheimers-fundraiser … #EndAlzheimers #EndAlz @alzassociation @WPTV,6/23/2017 ,15
,News Photobomb! #floodcleanup #flooding #waterdamage #bocaraton @WPTV WPTV WPTV NewsChannel 5 pic.twitter.com/etiqqGDvhg,6/7/2017 ,15
,@45thSpaceWing @102IW @MyNBC5 @WPBF25News @WPTV,1/25/2018 ,15
,@45thSpaceWing @102IW @MyNBC5 @WPBF25News @WPTV,1/25/2018 ,15
,Wha.....? @CStewartWPTV @MikeTrimWPTV @WxLadyFelicia @glennglazer @WPTV @StephanieWPTV https:// twitter.com/wptv/status/87 5489151264620548 …,6/16/2017,15
,We have @Chopper5WPTV overhead and @StephanieWPTV on the ground NOW on @WPTV o https:// twitter.com/wptv/status/86 0065423559151616 …,5/4/2017,15
,@WPTV https:// twitter.com/WPTV/status/93 3295349040631808 …,11/24/2017,15
,. @WPTV @WPTV https:// twitter.com/martinflsherif f/status/935878790894546944 …,11/29/2017,15
,#FAU #MedOwls check out the segment that just aired on @WPTV WPTV!,5/19/2017 ,15
,Trending now: #WeStandTogether in wake of #ManchesterArena #manchesterexplosion #ManchesterBombing -- @WPTV @FOX29WFLX,5/23/2017,15
,#HappyThanksgiving to @WxLadyFelicia and everyone at @WPTV & @FOX29WFLX,11/23/2017,15
,@wptv @FOX29WFLX,7/7/2017 ,15
,@SFScienceCenter now AT CAPACITY and OUT OF GLASSES! @WPTV @FOX29WFLX,8/21/2017 ,15
,Trending now: #WeStandTogether in wake of #ManchesterArena #manchesterexplosion #ManchesterBombing -- @WPTV @FOX29WFLX,5/23/2017,15
,#HappyThanksgiving to @WxLadyFelicia and everyone at @WPTV & @FOX29WFLX,11/23/2017,15
,@wptv @FOX29WFLX,7/7/2017 ,15
,@SFScienceCenter now AT CAPACITY and OUT OF GLASSES! @WPTV @FOX29WFLX,8/21/2017 ,15
,"Part 2: Accountability"" is here: http:// bit.ly/2yKhrOv #wptv @wptv""",10/26/2017 ,15
,Details will on be @WPTV and http:// wptv.com @JHackettWPTV,7/20/2017 ,15
,@WPTV vero beach Disney resort discrimination .,7/14/2017 ,15
,Doctors treating the underserved or themselves? ~ https://www. wptv.com/longform/flori da-doctors-treating-the-underserved-or-themselves … via @WPTV Florida. #skincare #beauty #medspa #spa,2/2/2018,15
,RIGHT NOW ON @WPTV and http:// wptv.com . Are you watching? https:// twitter.com/WPTV/status/87 2817171939962881 …,6/8/2017 ,15
,"According to @PalmBeachPolice , #RogerAiles fell on ground floor of home in Palm Beach. Accidental. SERIOUS"" bleeding. @WPTV #wptv pic.twitter.com/IP4GM3NyfQ""",5/18/2017 ,15
,Blake Koch to 3rd #PalmBeach #NASCAR #NXS @FOX29WFLX @wptv @WPBF25News,8/27/2017 ,15
,Blake Koch to 3rd #PalmBeach #NASCAR #NXS @FOX29WFLX @wptv @WPBF25News,8/27/2017 ,15
,Blake Koch to 3rd #PalmBeach #NASCAR #NXS @FOX29WFLX @wptv @WPBF25News,8/27/2017 ,15
,@WPTV @WPLGLocal10,9/12/2017 ,15
,@WPTV @WPLGLocal10,9/12/2017 ,15
,#CityInTurmoil @WandaMooreWPTV reports in #RivieraBeach @WPTV #WPTV pic.twitter.com/djxN3RzvHd,12/4/2017 ,15
,Boynton Beach Inlet Sunrise #wptv @WPTV @WestPalmBeaches @vsco @BeachPlaces @instagram pic.twitter.com/LDQwHx3k8A,6/1/2017 ,15
,"WPTV, @wptv is now trending in Canada https://www. trendsmap.com/r/CA_jwgmou pic.twitter.com/TojCfLft0S",5/29/2017 ,15
,"WPTV, @wptv is now trending in #Toronto https://www. trendsmap.com/r/CA_TOR_ssrzbk pic.twitter.com/FWTKFkJ1vt",5/29/2017 ,15
,"WPTV, @wptv is now trending in #DC https://www. trendsmap.com/r/US_WAS_gmziae pic.twitter.com/Goqrw4xL3g",5/29/2017 ,15
,@weatherchannel @WPTV Even clouds with 80 mph gusts have silver linings: pic.twitter.com/FW3r8KyQhP,9/10/2017 ,15
,Jessie Levi Scholarship Now Accepting Applications through Aug 31 @WPTV @BelleGladeApp @Pahokee_MSHS @GCHSRaiders #pleaseshare #retweet pic.twitter.com/u8M7n2L1P3,8/14/2017 ,15
,Fuel gettin delivered to Wawa! @WPTV pic.twitter.com/ZJjMkC86qi,9/12/2017 ,15
,@JonShainman @WPTV interviews Asst. Co Administrator George Stokus at #WithamField 4 US Customs & Border Protection Facility groundbreaking pic.twitter.com/RtpFzIwpKf,8/23/2017,15
,There's a python in the newsroom. @WPTV pic.twitter.com/Pw0percnZs,5/3/2017 ,15
,@WPTV @westpalmbch pic.twitter.com/geeAAUD4tz,12/26/2017 ,15
,@WPTV Bishop Fisher predicting all of these hurricanes. pic.twitter.com/Pu18OEKX40,8/28/2017 ,15
love beautiful guys happy awesome watching god best family hate
,I love how she sticks her tongue out,6/13/2017 ,16
,Love that dress @AshleyBatey !,1/20/2018 ,16
,Love it !,8/13/2017,16
,Love this!,12/28/2017 ,16
,I love you,10/13/2017 ,16
,I love the almond milk!,11/10/2017,16
,"Ahh, love puppies!",7/29/2017 ,16
,Love it!,11/16/2017 ,16
,I love that #vietcoffee and #vietnamesetacos @vietnomzfl,8/6/2017 ,16
,Love Pavlo,8/6/2017 ,16
,Love me some @BubbaFartBucket,11/23/2017 ,16
,"That's our principal! We love you, Sister! Fly, Eagles, fly! #KingsPride #EpiphanyCatholicSchool",2/2/2018 ,16
,Love it,11/30/2017 ,16
,I love it that youth r participating,12/24/2017 ,16
,No!!! We love her here.,8/4/2017 ,16
,Love it!,11/22/2017 ,16
,"I love it, too!",10/23/2017,16
,This is nuts. I love it.,5/9/2017 ,16
,I love those eyes!,6/23/2017 ,16
,woo woo! Love it!,1/22/2018,16
,Yay!! Love it!,12/6/2017,16
,Love it!!!!,1/3/2018 ,16
,I love that dress!,11/5/2017 ,16
,Love it!,6/27/2017 ,16
,"Love Pantry"" dedication ceremony underway at Palmetto Elementary",1/11/2018,16
,Love It! You are a ham @ErikaWCTVNews,10/24/2017,16
,Gotta love the sneaker,12/12/2017 ,16
,Love Hoda!,1/2/2018,16
,So that's why I love #PublixStores,12/29/2017 ,16
,Love!!!,9/12/2017 ,16
,I love it! Bye bye hater!,8/17/2017,16
,I love him,8/6/2017 ,16
,"Mark, love your comment!!!",1/18/2018 ,16
,Love it!,10/18/2017 ,16
,Love The Broncos!!!,11/12/2017,16
,I love this!!!,9/14/2017 ,16
,Love at first flight,10/31/2017 ,16
,"Jazmin, love love love the curls!",8/22/2017,16
,Love that illustration!,9/26/2017 ,16
,I love diversity,11/7/2017 ,16
,You love Castro!,10/8/2017 ,16
,Love Bruno!,8/13/2017 ,16
,Love this.,6/8/2017 ,16
,Love pirates with uncertain patches too,8/25/2017 ,16
,Love it!!,12/20/2017 ,16
,Love those boots!!,12/11/2017,16
,They are adorable! Love all those smiles!,1/26/2018,16
,Gatsby would love it!,11/8/2017 ,16
,Love it,11/23/2017 ,16
,Agreed! Love it!,6/23/2017 ,16
,I love Kristi Kueger,10/2/2017 ,16
,Gotta love that puppy!,7/24/2017 ,16
,Ahh love the puppy!,5/9/2017 ,16
,Love it,10/27/2017,16
,We love you Steve ..,9/8/2017 ,16
,We would love that,9/23/2017 ,16
,Love those two puppies!,1/8/2018 ,16
,love this,11/17/2017 ,16
,Love you cheetah babies!,1/6/2018,16
,Love that snapper,6/26/2017,16
,We love Neki.,9/26/2017,16
,Love that smile,7/31/2017 ,16
,The more hearts you have!the more love you get back!,11/15/2017 ,16
,Love that puppy forx-mas!,11/7/2017 ,16
,"Augh,gotta love the puppies!",10/24/2017 ,16
,Gotta love it.,1/15/2018 ,16
,I love it,9/11/2017 ,16
,Love your tanasity. Dennis,1/13/2018 ,16
,I would love one of these shirts! Are they for sale?,10/18/2017 ,16
,Love!!!,11/17/2017 ,16
,Love it!,1/24/2018 ,16
,I love the breeze,10/21/2017 ,16
,Love this!,7/16/2017,16
,I love sunsets,12/19/2017 ,16
,"I love this, greats pics as usual!",10/23/2017,16
,I love pizza!!,5/29/2017,16
,Liberals love criminals,11/28/2017 ,16
,Love the Blues!!,7/7/2017 ,16
,"We love y’all too, @DeltaRae !",11/20/2017 ,16
,Love it!,5/25/2017,16
,Love #Pcola,10/31/2017 ,16
,Love it!!!,10/16/2017 ,16
,I love it @RyanSeacrest,5/1/2017 ,16
,Love him!,11/26/2017 ,16
,Love your gorgeous smile Jacey,9/29/2017,16
,Love it,11/7/2017,16
,Lmao love it,12/18/2017 ,16
,LOVE the mugs!,1/3/2018 ,16
,Love you more #bff !!,5/24/2017,16
,Pittsburgh has neither of these (everyone loves Sheetz) but I have a very deep love for Wawa.,7/27/2017 ,16
,I love the show!,5/23/2017 ,16
,Well I love it!,5/17/2017 ,16
,Love it!,10/19/2017 ,16
,Love it!,1/19/2018 ,16
,I love this !,1/9/2018,16
,Love the dress.,6/13/2017,16
,Love your demeanor.,1/5/2018 ,16
,Love this!,9/9/2017 ,16
,And in uniform! Love it.,8/12/2017 ,16
,@AliDolly10 @CaliVia305 Love our Organization #HeatCulture,12/4/2017 ,16
great job day work happy safe hope team story morning
,This is great,10/15/2017 ,17
,Great,12/21/2017,17
,great hire,12/5/2017 ,17
,ANOTHER GREAT PATS COMEBACK! Go TB12. Go Patriots!!!,1/21/2018 ,17
,Great pictures!!,1/31/2018 ,17
,"Great project, Chris! Very impressive.",2/2/2018 ,17
,Whataburger HQ Corpus Christi great citizens,8/29/2017 ,17
,No one else has mentioned this. Great scoop,12/4/2017 ,17
,Great decision!,8/21/2017 ,17
,Reginald Roundtree is a great choice !,1/13/2018 ,17
,Great Smile #happyfridayeve,5/4/2017,17
,What a great documentary that was.... #RIPFatsDomino,10/25/2017 ,17
,Great capture!,1/31/2018 ,17
,Great,1/5/2018 ,17
,Great,9/28/2017,17
,Great,8/27/2017 ,17
,Great,7/18/2017 ,17
,Great graphic,12/5/2017,17
,Now that's a great neighbor,9/9/2017 ,17
,Great! More Corey Booker footage please!,1/16/2018 ,17
,Great venue!,1/4/2018 ,17
,Great find,1/28/2018 ,17
,Great shots of the ship and Bayshore.,1/25/2018 ,17
,Great capture!,1/31/2018 ,17
,Great...,9/16/2017 ,17
,that's great bud!,7/14/2017,17
,Great,7/31/2017,17
,Great! It is sub zero in northeast,12/14/2017 ,17
,Lookin’ great as always!,11/17/2017,17
,Woohoo more illegals. Great.,1/10/2018 ,17
,Great- DM me ...,1/28/2018 ,17
,... and great #Roundtable @JessStandsOut @RosemaryOHara14 @DwightBullard #OpioidEpidemic #TPS #Immigration #AmazonHQ,10/29/2017 ,17
,That's great to see!!,9/13/2017 ,17
,Pink sang great. Go Eagles! #myfalconsnextyear,2/4/2018 ,17
,Great,11/23/2017 ,17
,Great,10/22/2017 ,17
,Great!,12/1/2017 ,17
,Great to be here Jeff!,9/19/2017,17
,Great,12/15/2017 ,17
,This is so great,11/4/2017 ,17
,It’s great that they can land and reuse them,12/15/2017 ,17
,Great,5/20/2017 ,17
,GREAT wordsmithing!! ;-),9/19/2017 ,17
,What a great gig!!,7/20/2017 ,17
,That is great!!,10/27/2017 ,17
,Great Leadership,5/31/2017 ,17
,Great upbringing.....,7/5/2017 ,17
,This sucks Frost and UCF have made great strides together,12/2/2017 ,17
,Great tease,10/27/2017 ,17
,Great decision well,9/11/2017,17
,That is a great made up position!,10/6/2017 ,17
,Great,9/26/2017 ,17
,Great,5/9/2017 ,17
,You are both such great ambassadors and role models!,11/5/2017,17
,And a great documentary made by @PrestonMack,6/7/2017 ,17
,This is great! :),6/15/2017 ,17
,"Insensitive and Insane"" would be a great header for that sociopath's tombstone.""",10/18/2017,17
,"But still, it ain’t great.",11/15/2017 ,17
,Have a great GMS everyone!!,10/21/2017,17
,Great to have you back!,6/20/2017 ,17
,What a great Christian.,1/25/2018 ,17
,This is a great benefit! Tally will get behind it. #TLH,9/1/2017 ,17
,Great to see you again!,8/5/2017 ,17
,This is so Great,7/14/2017 ,17
,Great pics Dianna!,7/5/2017 ,17
,Ah my childhood movies were great,9/10/2017 ,17
,You take great pictures!,7/9/2017 ,17
,Great dress.,5/31/2017 ,17
,That's great..,6/1/2017 ,17
,great legs,7/25/2017,17
,Great smiles,1/4/2018,17
,That's great!,12/23/2017 ,17
,great,7/28/2017 ,17
,Great,8/20/2017 ,17
,This is great!,5/13/2017,17
,GREAT pictures @kbodden27 !,5/15/2017 ,17
,Great pictures,5/17/2017 ,17
,"Your knowledge of that movie is scary, but still great nonetheless.",1/23/2018 ,17
,Should be a great match-up!,9/22/2017 ,17
,What a great colour of sky,10/9/2017,17
,You're very talented! Great shots of #Pensacolas #sunsets ! #Pcola,11/9/2017 ,17
,Great !!,12/18/2017,17
,Great!,2/5/2018 ,17
,2 Great Danes 3 min pins and 2 border collie mixes. All rescues.,9/10/2017 ,17
,Great,9/8/2017 ,17
,great outfit but we cant see your shoes,11/30/2017,17
,Great,1/20/2018 ,17
,Such a great accomplishment!,1/23/2018 ,17
,that's great bud!,7/14/2017,17
,So Great ! Y'all are on fire!,11/19/2017 ,17
,Great photograph,7/8/2017,17
,anything with you in it is great!!!!!!!!!!!!!!!!!!!!!,2/6/2018,17
,Great shots!!!!,6/6/2017 ,17
,She was great on the show!!!,5/3/2017,17
,"@FLisSinking Increased monkey presense"" is a great phrase.""",7/10/2017,17
,Great,12/12/2017 ,17
,in the beginning it was great,7/21/2017 ,17
,So great to chat with you!,9/18/2017 ,17
,Great!,10/19/2017 ,17
,Great for OCD stove-checkers!,7/24/2017 ,17
thanks safe sharing stay latest watching update hope 11e7 awesome
,Thanks for the retweet!,6/15/2017 ,18
,I do? Thanks,1/3/2018 ,18
,Thanks Courtney!,12/22/2017 ,18
,Haha thanks!,2/4/2018 ,18
,Thanks Grant!,1/17/2018,18
,Thanks! You too!,12/22/2017 ,18
,No thanks.,11/23/2017,18
,Thanks!,2/5/2018 ,18
,"Thanks, Kevin!",2/5/2018,18
,Thanks!,9/10/2017 ,18
,@WPBfire Thanks for the correction.,7/8/2017 ,18
,Thanks! Can we give our other @TEGNA affiliates permission too?,2/2/2018,18
,Thanks!,1/14/2018,18
,Thanks so much,12/14/2017,18
,Thanks so much,12/3/2017 ,18
,Thanks for the feature!,9/29/2017 ,18
,ah! Thanks,6/16/2017 ,18
,Thanks @Zimm10,1/22/2018 ,18
,thanks,11/6/2017,18
,Thanks for nothing Obummer!,6/19/2017 ,18
,"Thanks, Ashleigh!",7/27/2017 ,18
,Thanks for being a loyal follower!,9/14/2017 ,18
,Thanks for that official comment Will,5/11/2017 ,18
,Thanks you too,9/8/2017,18
,No thanks,12/11/2017 ,18
,Thanks! I never have :),9/10/2017 ,18
,Thanks,9/10/2017,18
,Thanks!,1/14/2018 ,18
,Thanks for the pictures!,8/30/2017 ,18
,Thanks!!,6/23/2017 ,18
,Thanks Anchors,1/4/2018 ,18
,Thanks!,1/31/2018 ,18
,Ummm no thanks. What the heck FPL!,10/26/2017 ,18
,Thanks for the tip,9/10/2017,18
,BS. No thanks. It’s a Parent’s decision,1/23/2018,18
,No thanks.,10/2/2017 ,18
,No thanks.,6/16/2017 ,18
,"Thanks, Ron! Had a blast.",8/8/2017 ,18
,"Thanks so much, @shadetreejp6",1/25/2018 ,18
,"Thanks, Geno.",1/10/2018 ,18
,Thanks. You too.,9/5/2017,18
,Thanks,7/12/2017 ,18
,Thanks Nancy!,1/7/2018 ,18
,Thanks,9/9/2017 ,18
,thanks bro,12/5/2017 ,18
,The grip has been gotten. Thanks so much.,9/9/2017 ,18
,thanks for that,9/8/2017,18
,Thanks Rose!,10/14/2017 ,18
,"Thanks, Guv! That one worries me.",10/1/2017 ,18
,Thanks for joining us!,5/24/2017,18
,"No, thanks...",11/26/2017 ,18
,Thanks! You too,10/7/2017 ,18
,No thanks.,12/5/2017 ,18
,Thanks!,12/16/2017 ,18
,Thanks Steve,2/2/2018 ,18
,Thanks boo,12/20/2017 ,18
,Thanks!,12/30/2017 ,18
,Thanks,11/22/2017 ,18
,thanks---same to you!,11/30/2017,18
,Thanks Kim! Same to you!,7/12/2017,18
,Thanks Derry!,7/11/2017,18
,Thanks!,6/28/2017 ,18
,We enjoyed you Jerry! Thanks!,8/20/2017 ,18
,No thanks,1/30/2018 ,18
,Thanks! If you have DirectTV or Dish Network you can get it!,5/13/2017,18
,Thanks for the @FAU_Football mention. #GoOwls #LaneTrain #ConferenceChamps,12/2/2017 ,18
,Thanks EINSTEIN,10/11/2017 ,18
,Haha thanks,9/21/2017 ,18
,Thanks Julie noted.,9/3/2017 ,18
,This survivor thanks you!!,10/2/2017 ,18
,Excellent. Thanks.,9/6/2017,18
,thanks for that!,10/11/2017 ,18
,..and a rocking #Roundtable - Our thanks to @ResLegalDiva @sbustosFL @SeanPJackson1,10/8/2017 ,18
,Thanks! And thanks for being with us!,9/9/2017 ,18
,"Thanks, @IreneSans !",7/14/2017 ,18
,No thanks!,9/13/2017,18
,Thanks,9/13/2017 ,18
,Thanks for the tip @MartinaKunovic !,10/2/2017 ,18
,Thanks for cleaning up beaches!,7/22/2017,18
,Thanks for the correction!,1/5/2018,18
,Thanks Michael!,12/15/2017,18
,Thanks Andrew!,12/14/2017,18
,Thanks!,12/11/2017,18
,Thanks Mark!,11/15/2017 ,18
,Thanks!!,11/13/2017,18
,Haha thanks!!,11/13/2017,18
,Thanks!!,10/26/2017 ,18
,Awwwwww thanks honey!!!,10/19/2017,18
,Thanks Gary!,9/27/2017,18
,Thanks Ralph!,9/27/2017,18
,Thanks so much!,9/20/2017,18
,No thanks,10/11/2017 ,18
,Thanks!,9/14/2017,18
,Thanks so much,9/7/2017 ,18
,Thanks Sam,9/7/2017,18
,Thanks @kevinsrq23,6/15/2017 ,18
,Thanks Craig!,7/25/2017,18
,Thanks!,7/18/2017,18
,Thanks!!!,6/29/2017,18
,Thanks!!,6/28/2017,18
don know need did let think trump want right say
,Oprah don’t know this clown.,1/9/2018 ,19
,I don’t know whether to laugh or cry!!!,1/22/2018 ,19
,Them motherfuckers don’t even know how to indicate. How sway? HOW?,12/18/2017 ,19
,"I don't know how you find these gifs, Danny, but that was excellent.",8/23/2017 ,19
,Nope. I don’t know who that is,11/26/2017 ,19
,I don't know why I laughed so much,1/11/2018 ,19
,"8:05pm Wunderground's ensemble screen is currently blank. Apparently they don't know, either.",9/9/2017 ,19
,I don't know....last minute flights are expensive anyway,9/6/2017 ,19
,When you obviously don't know how to govern this is what you do.,10/24/2017 ,19
,I don't know but it should be our not are. JS,6/7/2017 ,19
,I don't know,6/14/2017,19
,How do you know they don’t?,11/14/2017 ,19
,They don't know and that's why they're evacuating.,9/12/2017 ,19
,Don’t know about him but I will.,2/4/2018,19
,Don't know who's cuter here!! :),5/3/2017 ,19
,I don't know,9/10/2017 ,19
,"Don't you know who I am? I'm a hack golfer and a shell of my former self.""""",5/29/2017 ,19
,They obviously don’t know about Laspadas!!!,12/29/2017 ,19
,"I don't know who this clerk is, but my hat's off to him. He obviously clanks when he walks.",12/8/2017,19
,You don't know that.,11/6/2017,19
,Don't drink and type.,1/24/2018 ,19
